B4,B3,B2,B5,B8,yield
2174.15,2025.57142857143,2063.07142857143,2445.57142857143,3249,1.903125
2155,2018,2083.5,2382,2985.5,0.990625
2587.5,2277.5,2254,2822.5,3576,3.9025
2302,2140,2190,2513,3102,1.825
2299,2102.5,2138,2522,3167,5.90375
20.665,2033,2075.5,2463,3214.5,4.375
9.6525,2136,2155,2646.5,3265.5,1.4175
2133,2007.5,2065.5,2391.5,3194,1.275
2764,2421,2316,3084,3805,3.005
2171,1983,2052.5,2376,3026.5,0.7125
2077,1980,2027,2328.5,2980.5,5.01375
2117,1955,2002,2329,2878,5.1425
2034.5,1939.5,2009.25,2297.5,3083,1.73375
2260,2135.5,2167.5,2492.5,3394,0.04875
2441,2209,2221,2712.5,3486,0.60125
1957,1884,1980,2184.5,2742.5,1.88625
36.55,2319.5,2261.5,2832.5,3469,6.35625
26.85,1957.14285714286,2023,2310.2,2934,4.8175
2239.95,1989.33333333333,2023.20833333333,2448.91666666667,3031.26666666667,3.375
6.3425,2128,2136.5,2603,3407.5,0.91125
2498.5,2216.5,2232,2701,3362,0.05125
2.2975,2049.5,2097.5,2463.5,3129.5,0.26125
2191,2008.5,2055.5,2401.5,3108,0.365625
2.15,1979.5,2034.5,2376.5,2973,0.315
2652,2225,2162,2822,3390,1.97375
2429,2217.5,2245,2615,3354,2.135625
2797.5,2432,2396.5,2990.5,3667.5,2.504375
2789.5,2431,2407,2943,3518,2.06125
2751.5,2384,2353,2946,3574.5,2.63375
2.97,2319.5,2306.5,2858.5,3487.5,0.049375
2061.33333333333,1905.33333333333,1956.2,2320.33333333333,3185.66666666667,5.13875
10.755,1967.66666666667,2002.21052631579,2415.09090909091,3086.25,1.973125
23.07,1939.85714285714,1992.33333333333,2319,3182.25,4.32875
2598,2210,2169,2781.5,3293.5,0.986875
2413,2189,2219,2608,3334,1.939375
2345,2121.5,2127,2617.5,3388,2.70375
6.18,2034.5,2122.5,2349.5,2997,1.135
2309.5,2072,2146.5,2459.5,3044.5,0.98375
2077,1987.5,2103.5,2237,2905.5,0.145
4.825,2090,2161.5,2454.5,3068,1.045625
5.1725,2074,2169.5,2387,2949,0.875
2168,2025.5,2129,2340,2957,1.334375
2049,1986,2081,2267.5,2942,1.061875
2497.5,2152,2149.5,2820,3706.5,4.31625
2599,2255,2208.5,2851.5,3630,4.55
2507,2239.5,2233.5,2761.5,3536.5,4.715
2550,2213,2205,2767,3513.5,0.194375
2708,2381,2356,2892.5,3661.5,0.17625
2641.5,2346,2330,2832.5,3483.5,3.0275
1884,1887.5,1967,2138,3169,4.33
2517.5,2202.5,2227.5,2749.5,3393,3.42625
2024,1923,2004.5,2256,2893,2.060625
8.355,1935,2006,2313,3316,1.445
2953.5,2420,2332,3181,3692,3.92125
2626.5,2302.5,2274.5,2858.5,3598.5,0.033125
2281.5,2040.5,2064,2523,3104,2.28625
